Landmarks,1441,v1.0,(mm)
#,Name,Type,X,Y,Z,NX,NY,NZ
165,Postorbital_RIGHT1.8.17,normal,-7.864424e+01,-5.911479e+01,2.211199e+01,3.339438e-01,-8.830465e-01,-3.297129e-01
166,Postorbital_RIGHT1.8.18,normal,-7.827917e+01,-5.910091e+01,2.444897e+01,-3.778028e-02,-9.991305e-01,-1.763638e-02
167,Postorbital_RIGHT1.8.19,normal,-7.940008e+01,-5.829233e+01,2.636866e+01,9.782512e-01,-9.052424e-02,1.866282e-01
168,Postorbital_RIGHT2.9.01,normal,-8.311044e+01,-5.842792e+01,2.195836e+01,-5.495152e-01,-8.054461e-01,2.220127e-01
169,Postorbital_RIGHT2.9.02,normal,-8.403338e+01,-5.839936e+01,1.926898e+01,3.637979e-01,-8.689632e-01,-3.354908e-01
170,Postorbital_RIGHT2.9.03,normal,-8.480243e+01,-5.791739e+01,1.657410e+01,-6.157063e-01,-6.234267e-01,4.819179e-01
171,Postorbital_RIGHT2.9.04,normal,-8.610393e+01,-5.754610e+01,1.407335e+01,-7.278212e-01,-6.382502e-01,2.508249e-01
172,Postorbital_RIGHT2.9.05,normal,-8.733506e+01,-5.707113e+01,1.230745e+01,-5.332285e-01,-8.221341e-01,1.994062e-01
173,Postorbital_RIGHT2.9.06,normal,-8.861140e+01,-5.630817e+01,1.067990e+01,-6.679826e-01,-4.302571e-01,6.071887e-01
174,Postorbital_RIGHT2.9.07,normal,-8.982443e+01,-5.532925e+01,9.121002e+00,-5.275490e-01,-8.253305e-01,2.013000e-01
175,Postorbital_RIGHT2.9.08,normal,-9.140308e+01,-5.410075e+01,7.011652e+00,-4.890749e-01,-8.684361e-01,8.139161e-02
176,Postorbital_RIGHT2.9.09,normal,-9.303473e+01,-5.277851e+01,5.001569e+00,-5.694440e-01,-8.213121e-01,-3.435261e-02
177,Postorbital_RIGHT2.9.10,normal,-9.526338e+01,-5.154843e+01,3.597870e+00,-5.336063e-01,-8.452371e-01,-2.895735e-02
178,Postorbital_RIGHT2.9.11,normal,-9.901865e+01,-5.017115e+01,2.820320e+00,-1.529372e-01,-9.613865e-01,-2.287932e-01
179,Postorbital_RIGHT2.9.12,normal,-1.008628e+02,-4.681102e+01,1.450638e+00,5.155019e-01,6.261277e-01,5.849974e-01
180,Postorbital_RIGHT2.9.13,normal,-1.033360e+02,-4.732550e+01,4.597595e+00,-7.090225e-04,-1.045472e-01,9.945198e-01
181,Postorbital_RIGHT2.9.14,normal,-1.056875e+02,-4.635418e+01,4.572585e+00,-1.919163e-01,9.345637e-02,9.769514e-01
182,Postorbital_RIGHT2.9.15,normal,-1.079079e+02,-4.545333e+01,3.716506e+00,-6.329239e-01,-3.434501e-01,6.938655e-01
183,Postorbital_RIGHT2.9.16,normal,-1.100519e+02,-4.468640e+01,2.581192e+00,-2.592285e-01,-6.270635e-01,7.345693e-01
184,Postorbital_RIGHT2.9.17,normal,-1.121580e+02,-4.425182e+01,6.637404e-01,-6.415427e-01,-7.006472e-01,3.122763e-01
