Landmarks,1973,v1.0,(mm),,,,,
#,Name,Type,X,Y,Z,NX,NY,NZ
155,Vomer_RIGHT.8.01,normal,-2.09E+00,2.40E+00,-1.28E+01,-2.63E-02,8.86E-01,-4.63E-01
156,Vomer_RIGHT.8.02,normal,-2.15E+00,2.36E+00,-1.29E+01,-2.34E-01,7.10E-01,-6.64E-01
157,Vomer_RIGHT.8.03,normal,-2.21E+00,2.31E+00,-1.29E+01,-1.56E-01,9.09E-01,-3.87E-01
158,Vomer_RIGHT.8.04,normal,-2.27E+00,2.28E+00,-1.29E+01,-5.49E-01,2.23E-01,-8.05E-01
159,Vomer_RIGHT.8.05,normal,-2.34E+00,2.24E+00,-1.30E+01,-3.48E-01,6.60E-01,-6.66E-01
160,Vomer_RIGHT.8.06,normal,-2.42E+00,2.19E+00,-1.30E+01,-5.83E-02,8.85E-01,-4.62E-01
161,Vomer_RIGHT.8.07,normal,-2.49E+00,2.17E+00,-1.31E+01,2.86E-01,6.64E-01,-6.91E-01
162,Vomer_RIGHT.8.08,normal,-2.56E+00,2.20E+00,-1.32E+01,9.79E-01,1.45E-01,1.41E-01
163,Vomer_RIGHT.8.09,normal,-2.67E+00,2.17E+00,-1.32E+01,-7.91E-01,6.00E-01,-1.17E-01
164,Vomer_RIGHT.8.10,normal,-2.78E+00,2.13E+00,-1.31E+01,3.33E-02,6.25E-01,-7.80E-01
165,Vomer_RIGHT.8.11,normal,-2.94E+00,2.11E+00,-1.32E+01,7.06E-02,6.57E-01,-7.51E-01
166,Vomer_RIGHT.8.12,normal,-3.10E+00,2.08E+00,-1.32E+01,4.67E-02,4.64E-01,-8.84E-01
167,Vomer_RIGHT.8.13,normal,-3.26E+00,2.04E+00,-1.32E+01,-1.21E-01,5.10E-01,-8.52E-01
168,Vomer_RIGHT.8.14,normal,-3.36E+00,2.00E+00,-1.33E+01,-1.93E-01,7.10E-01,-6.77E-01
169,Vomer_RIGHT.8.15,normal,-3.46E+00,1.97E+00,-1.33E+01,3.26E-02,1.60E-01,-9.87E-01
170,Vomer_RIGHT.8.16,normal,-3.57E+00,1.94E+00,-1.33E+01,-5.41E-02,8.89E-01,-4.54E-01
171,Vomer_RIGHT.8.17,normal,-3.67E+00,1.92E+00,-1.33E+01,-5.91E-01,6.15E-01,-5.22E-01
172,Vomer_RIGHT.8.18,normal,-3.73E+00,1.86E+00,-1.33E+01,-7.96E-01,5.08E-01,-3.28E-01
173,Vomer_RIGHT.8.19,normal,-3.82E+00,1.84E+00,-1.33E+01,5.95E-01,7.99E-01,8.64E-02
174,Vomer_RIGHT.8.20,normal,-3.94E+00,1.88E+00,-1.33E+01,4.64E-01,7.52E-01,-4.69E-01
175,Vomer_RIGHT.8.21,normal,-4.02E+00,1.98E+00,-1.33E+01,1.68E-01,-4.67E-01,-8.68E-01
176,Vomer_RIGHT.8.22,normal,-4.08E+00,2.08E+00,-1.34E+01,4.84E-01,1.61E-02,-8.75E-01
177,Vomer_RIGHT.8.23,normal,-4.34E+00,2.26E+00,-1.35E+01,4.74E-01,5.74E-02,-8.79E-01
178,Vomer_RIGHT.8.24,normal,-4.61E+00,2.42E+00,-1.35E+01,2.41E-01,4.53E-01,-8.58E-01
179,Vomer_RIGHT.8.25,normal,-4.89E+00,2.59E+00,-1.35E+01,6.75E-02,-1.49E-02,-9.98E-01
180,Vomer_Palatine_LEFT_1.9.01,normal,-4.54E+00,3.64E+00,-1.33E+01,-1.70E-01,8.89E-01,-4.25E-01
181,Vomer_Palatine_LEFT_1.9.02,normal,-4.65E+00,3.59E+00,-1.33E+01,2.09E-01,4.21E-01,-8.82E-01
182,Vomer_Palatine_LEFT_1.9.03,normal,-4.76E+00,3.53E+00,-1.34E+01,1.28E-02,3.28E-01,-9.45E-01
